time	r_thigh_gx	r_thigh_gy	r_thigh_gz	r_thigh_ax	r_thigh_ay	r_thigh_az	r_thigh_mx	r_thigh_my	r_thigh_mz	r_shin_gx	r_shin_gy	r_shin_gz	r_shin_ax	r_shin_ay	r_shin_az	r_shin_mx	r_shin_my	r_shin_mz	r_foot_gx	r_foot_gy	r_foot_gz	r_foot_ax	r_foot_ay	r_foot_az	r_foot_mx	r_foot_my	r_foot_mz	l_thigh_gx	l_thigh_gy	l_thigh_gz	l_thigh_ax	l_thigh_ay	l_thigh_az	l_thigh_mx	l_thigh_my	l_thigh_mz	l_shin_gx	l_shin_gy	l_shin_gz	l_shin_ax	l_shin_ay	l_shin_az	l_shin_mx	l_shin_my	l_shin_mz	l_foot_gx	l_foot_gy	l_foot_gz	l_foot_ax	l_foot_ay	l_foot_az	l_foot_mx	l_foot_my	l_foot_mz	up_torso_gx	up_torso_gy	up_torso_gz	up_torso_ax	up_torso_ay	up_torso_az	up_torso_mx	up_torso_my	up_torso_mz	lo_torso_gx	lo_torso_gy	lo_torso_gz	lo_torso_ax	lo_torso_ay	lo_torso_az	lo_torso_mx	lo_torso_my	lo_torso_mz	gaitStageRight	gaitStageLeft	step_count
2.97178	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	7	-1	11	389	-479	-4040	2429	-815	-1937	None	None	None	None	None	None	None	None	None	0	0	0
2.9921	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	0	11	388	-477	-4041	2445	-817	-1920	None	None	None	None	None	None	None	None	None	0	0	0
3.0117	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	2	13	386	-480	-4044	2457	-809	-1924	None	None	None	None	None	None	None	None	None	0	0	0
3.03194	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	2	15	385	-477	-4040	2418	-802	-1919	None	None	None	None	None	None	None	None	None	0	0	0
3.05138	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5	2	15	385	-475	-4045	2457	-829	-1941	None	None	None	None	None	None	None	None	None	0	0	0
3.0718	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	1	13	382	-479	-4047	2450	-809	-1923	None	None	None	None	None	None	None	None	None	0	0	0
3.09122	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4	1	12	390	-479	-4038	2457	-824	-1929	None	None	None	None	None	None	None	None	None	0	0	0
3.1116	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	0	11	386	-471	-4045	2428	-811	-1934	None	None	None	None	None	None	None	None	None	0	0	0
3.13073	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	2	13	386	-478	-4049	2428	-836	-1931	None	None	None	None	None	None	None	None	None	0	0	0
3.15139	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	6	2	13	385	-478	-4043	2422	-806	-1906	None	None	None	None	None	None	None	None	None	0	0	0
